Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Viamão,RS,255224,75.14,1.0,5,44.41,0.0,3.84,5,0.717,4.0,57.07299307944542
Guaíba,RS,98143,62.51,1.0,3,64.1,0.0,3.9,3,0.73,4.0,57.038316636031624
Sinop,MT,142996,36.11,1.0,3,50.81,0.0,5.07,0,0.754,4.0,57.02755304571964
Irecê,BA,72967,58.17,1.0,3,65.09,0.0,12.56,4,0.691,4.0,56.97040258406098
Coari,AM,85097,59.57,1.0,3,84.79,0.0,17.34,5,0.586,4.0,56.89751572644463
Lagarto,SE,104408,51.36,1.0,3,81.6,0.0,24.53,4,0.625,4.0,56.89446803999318
Ilhéus,BA,162327,46.01,1.0,4,74.72,0.0,12.27,0,0.69,4.0,56.890725212084156
Bom Jesus da Lapa,BA,69148,52.79,1.0,3,65.64,0.0,18.63,5,0.633,4.0,56.865185558237975
Serrinha,BA,80861,15.73,1.0,3,57.95,0.0,16.52,0,0.634,4.0,56.855420624400764
Horizonte,CE,67337,61.85,1.0,3,69.57,0.0,15.31,5,0.658,4.0,56.83944882162157
Tramandaí,RS,51715,57.49,1.0,3,85.74,0.0,3.83,0,0.719,4.0,56.76427221744822
Belo Jardim,PE,76439,54.14,1.0,3,72.1,0.0,23.68,5,0.629,4.0,56.68858161753972
Paragominas,PA,113145,67.25,1.0,6,52.99,0.0,13.32,4,0.645,4.0,56.59129412964011
Cruzeiro do Sul,AC,88376,28.02,1.0,3,68.43,0.0,18.66,0,0.664,4.0,56.54020274131468
Cabo de Santo Agostinho,PE,207048,69.09,1.0,4,56.86,0.0,12.55,5,0.686,4.0,56.49805974741069
Vitória da Conquista,BA,338480,64.44,1.0,3,62.74,0.0,12.86,5,0.678,4.0,56.469200602568094
Alvorada,RS,210305,70.88,1.0,3,57.35,0.0,3.83,5,0.699,4.0,56.407737623370195
Tabatinga,AM,65844,35.29,1.0,6,49.22,0.0,13.94,0,0.616,4.0,56.25114917968844
Cruz das Almas,BA,63239,43.38,1.0,0,55.04,0.0,10.52,5,0.699,4.0,56.214218778699276
Breu Branco,PA,66046,25.5,1.0,3,34.84,0.0,19.61,5,0.568,4.0,56.20899523450833
Cascavel,CE,71743,28.34,1.0,3,72.16,0.0,21.42,0,0.646,4.0,56.170259148202156
Vilhena,RO,99854,62.94,1.0,5,36.71,0.0,6.28,3,0.731,4.0,56.15443665596443
Pesqueira,PE,67395,40.59,1.0,3,60.11,0.0,23.33,4,0.61,4.0,56.090800911854835
Açu,RN,58017,51.95,1.0,3,53.4,0.0,21.29,5,0.661,4.0,56.07867561170408
Marechal Deodoro,AL,51901,46.41,1.0,3,48.96,0.0,20.93,5,0.642,4.0,56.06101775015114
Limoeiro do Norte,CE,59540,59.78,1.0,3,66.98,0.0,18.81,4,0.682,4.0,56.04411330560784
Abaetetuba,PA,157698,46.07,1.0,3,52.73,0.0,13.02,4,0.628,4.0,56.03970793610289
Ipojuca,PE,96204,75.3,1.0,6,72.32,0.0,20.33,4,0.619,4.0,56.02639332822682
Euclides da Cunha,BA,60585,34.08,1.0,3,52.68,0.0,26.45,5,0.567,4.0,55.993852315519995
Grajaú,MA,69527,21.91,1.0,4,59.42,0.0,22.57,0,0.609,4.0,55.9769469843636
Araripina,PE,84418,44.42,1.0,3,57.92,0.0,24.82,5,0.602,4.0,55.953579033229744
Camocim,CE,63661,33.47,1.0,3,87.01,0.0,26.27,0,0.62,4.0,55.81580103986243
Alagoinhas,BA,151596,74.66,1.0,8,61.15,0.0,9.58,0,0.683,4.0,55.805602018016565
Salgueiro,PE,60930,33.27,1.0,3,63.2,0.0,16.15,0,0.669,4.0,55.60585803646485
Rolim de Moura,RO,55058,22.94,1.0,3,32.39,0.0,8.93,0,0.7,4.0,55.46981080848721
Rondon do Pará,PA,52357,53.51,1.0,3,61.59,0.0,20.27,5,0.602,4.0,55.466924087055844
Acopiara,CE,54270,16.87,1.0,3,71.18,0.0,32.91,0,0.595,4.0,55.38696387381801
Novo Gama,GO,115711,59.04,1.0,3,85.78,0.0,7.32,0,0.684,4.0,55.3708020240193
Sapé,PB,52625,32.4,1.0,3,57.06,0.0,29.92,4,0.569,4.0,55.362319787795336
Alenquer,PA,56789,7.28,1.0,3,15.78,0.0,15.48,3,0.564,4.0,55.330607334817124
Luziânia,GO,208299,83.81,1.0,3,68.77,0.0,8.02,5,0.701,4.0,55.240659490024406
Ji-Paraná,RO,128969,33.44,1.0,4,29.85,0.0,7.58,0,0.714,4.0,55.216264693277736
Itaguaí,RJ,133019,59.58,1.0,3,76.2,0.0,5.62,0,0.715,4.0,55.19098908376373
Ananindeua,PA,530598,83.59,1.0,3,58.64,0.0,3.4,5,0.718,4.0,55.11887853029251
Bertioga,SP,63249,22.44,1.0,3,17.97,0.0,5.63,0,0.73,4.0,55.09997549413539
Cidade Ocidental,GO,71376,93.1,1.0,3,73.85,0.0,4.77,5,0.717,4.0,55.088173999698085
Itaituba,PA,101247,68.03,1.0,4,51.48,0.0,13.57,5,0.64,4.0,54.95831611851524
Tucano,BA,50687,17.18,1.0,0,60.14,0.0,29.1,4,0.579,4.0,54.92855796113035
Janaúba,MG,71648,70.15,1.0,3,51.0,0.0,13.74,5,0.696,4.0,54.72468748247818
Palmeira dos Índios,AL,73218,59.42,1.0,3,57.35,0.0,22.92,5,0.638,4.0,54.674743906076614
Araci,BA,54379,19.77,1.0,3,41.44,0.0,32.09,4,0.534,4.0,54.621983516070046
Dom Eliseu,PA,59719,34.93,1.0,3,27.95,0.0,16.62,4,0.615,4.0,54.47909933444176
Castanhal,PA,200793,76.34,1.0,3,65.78,0.0,7.55,4,0.673,4.0,54.46863614194799
Redenção,PA,84787,46.54,1.0,3,16.95,0.0,11.66,5,0.672,4.0,54.44158983198531
Santa Rita,PB,136586,75.05,1.0,3,77.15,0.0,20.0,5,0.627,4.0,54.44120572684318
Nossa Senhora do Socorro,SE,183628,82.38,1.0,3,68.48,0.0,10.58,5,0.664,4.0,54.31352268331363
Tomé-Açu,PA,63447,49.1,1.0,3,41.44,0.0,15.81,5,0.586,4.0,54.18271403464606
