Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Gravataí,RS,281519,27.76,1.0,3,76.59,0.0,3.07,5,0.736,4.0,65.7258092352901
Rio Verde,GO,235647,35.81,1.0,3,87.49,0.0,6.25,5,0.754,4.0,65.70303265666416
Patrocínio,MG,90757,31.34,1.0,3,96.3,0.0,6.66,4,0.729,4.0,65.6649581181274
Fortaleza,CE,2669342,44.6,1.0,4,89.56,0.0,6.82,5,0.754,4.0,65.65356648038505
Itacoatiara,AM,101337,26.4,1.0,4,89.32,0.0,8.89,5,0.644,4.0,65.64156204299101
Barra Mansa,RJ,184412,19.43,1.0,5,93.24,0.0,4.23,0,0.729,4.0,65.61314407140864
Araucária,PR,143843,38.39,1.0,3,90.07,0.0,3.15,5,0.74,4.0,65.60317073874428
Caldas Novas,GO,91162,31.24,1.0,4,82.35,0.0,5.28,4,0.733,4.0,65.60113596534262
Itumbiara,GO,104742,39.39,1.0,4,92.26,0.0,7.43,4,0.752,4.0,65.59611579644746
União da Vitória,PR,57517,22.95,1.0,3,68.26,0.0,4.09,5,0.74,4.0,65.5691788627723
São Leopoldo,RS,236835,37.01,1.0,3,87.8,0.0,3.04,5,0.739,4.0,65.56577224601526
Barra do Piraí,RJ,100374,23.67,1.0,3,80.61,0.0,4.37,4,0.733,4.0,65.53930359549982
Contagem,MG,663855,44.36,1.0,3,94.79,0.0,3.4,5,0.756,4.0,65.52974027783986
Carazinho,RS,62110,48.24,1.0,6,75.66,0.0,3.9,4,0.766,4.0,65.49522552401866
Cachoeiras de Macacu,RJ,58937,22.97,1.0,4,68.97,0.0,7.64,5,0.7,4.0,65.46454425917473
Presidente Prudente,SP,228743,21.45,1.0,3,98.67,0.0,3.65,0,0.806,4.0,65.44314282951265
Barbacena,MG,137313,5.15,1.0,3,84.21,0.0,5.03,0,0.769,4.0,65.40955767655176
Videira,SC,53065,3.88,1.0,3,82.57,0.0,4.36,0,0.764,4.0,65.39089129314762
São Luís,MA,1101884,55.5,1.0,6,75.41,0.0,4.58,5,0.768,4.0,65.35822940410878
Jaraguá do Sul,SC,177697,5.38,1.0,3,72.6,0.0,1.61,0,0.803,4.0,65.32188121874097
Três Pontas,MG,56746,7.03,1.0,3,98.03,0.0,8.63,0,0.731,4.0,65.29941622320973
Feira de Santana,BA,614872,40.31,1.0,5,79.81,0.0,8.74,5,0.712,4.0,65.25144393371717
Mariana,MG,60724,26.96,1.0,3,92.44,0.0,6.49,3,0.742,4.0,65.23386671342251
Castro,PR,71484,22.48,1.0,3,75.97,0.0,7.74,5,0.703,4.0,65.20053132087043
Dourados,MS,222949,29.7,1.0,3,73.94,0.0,5.23,5,0.747,4.0,65.17866311412092
Pato Branco,PR,82881,18.78,1.0,3,97.63,0.0,4.18,0,0.782,4.0,65.13681434796801
Manaus,AM,2182763,47.84,1.0,4,89.29,0.0,3.91,5,0.737,4.0,65.07508192020586
Teresina,PI,864845,44.13,1.0,4,85.67,0.0,8.78,5,0.751,4.0,65.04513691809561
Cosmópolis,SP,72252,16.19,1.0,3,96.47,0.0,4.9,0,0.769,4.0,65.03342108330264
Santa Luzia,MG,219134,21.14,1.0,6,82.59,0.0,4.6,0,0.715,4.0,65.02252473176345
Catalão,GO,108823,49.71,1.0,3,96.59,0.0,4.88,5,0.766,4.0,64.9811689291161
Brusque,SC,134723,4.77,1.0,3,70.5,0.0,2.35,0,0.795,4.0,64.93731665321693
Parobé,RS,58272,23.26,1.0,3,70.78,0.0,4.64,5,0.704,4.0,64.91076976297097
Toledo,PR,140635,17.93,1.0,3,97.32,0.0,4.46,0,0.768,4.0,64.88616598701574
Caçapava,SP,94263,9.8,1.0,3,79.98,0.0,3.5,0,0.788,4.0,64.87630583978112
Gurupi,TO,86647,35.45,1.0,3,87.8,0.0,6.53,4,0.759,4.0,64.87076508894648
Curvelo,MG,80129,25.19,1.0,3,74.69,0.0,8.14,5,0.713,4.0,64.8470912448881
Coronel Fabriciano,MG,109855,41.87,1.0,3,87.31,0.0,6.17,5,0.755,4.0,64.81199417946216
Barcarena,PA,124680,37.12,1.0,5,80.2,0.0,8.11,5,0.662,4.0,64.70929082504983
Sobral,CE,208935,33.39,1.0,3,93.5,0.0,16.37,5,0.714,4.0,64.68246583412576
Campos dos Goytacazes,RJ,507548,55.42,1.0,5,93.28,0.0,6.82,5,0.716,4.0,64.67632161028237
Abreu e Lima,PE,99990,38.39,1.0,4,90.74,0.0,9.92,5,0.679,4.0,64.67558476142955
Vespasiano,MG,127601,34.85,1.0,3,90.37,0.0,6.06,5,0.688,4.0,64.67541710636446
São Gonçalo,RJ,1084839,38.98,1.0,5,60.76,0.0,3.56,5,0.739,4.0,64.66707641653804
Teófilo Otoni,MG,140592,24.73,1.0,3,79.57,0.0,12.58,5,0.701,4.0,64.66443617928931
Itanhaém,SP,101816,17.45,1.0,3,51.33,0.0,5.55,5,0.745,4.0,64.60906862669358
Cambé,PR,106533,14.34,1.0,3,98.55,0.0,6.2,0,0.734,4.0,64.59333193534104
Linhares,ES,173555,30.03,1.0,3,77.57,0.0,9.09,5,0.724,4.0,64.56519196627951
Sumaré,SP,282441,17.44,1.0,3,94.36,0.0,4.78,0,0.762,4.0,64.48612976493072
Caetité,BA,50975,13.28,1.0,3,85.78,0.0,20.11,5,0.625,4.0,64.48088662489747
Sapucaia do Sul,RS,141075,44.63,1.0,3,90.87,0.0,3.39,5,0.726,4.0,64.41319992729967
Mesquita,RJ,176103,39.18,1.0,3,80.5,0.0,3.46,5,0.737,4.0,64.40356376716767
Nova Friburgo,RJ,190631,14.05,1.0,3,91.85,0.0,4.97,0,0.745,4.0,64.33104541904322
Picos,PI,78222,24.76,1.0,3,80.17,0.0,15.68,5,0.698,4.0,64.3180148215329
Sidrolândia,MS,57665,15.1,1.0,3,60.98,0.0,8.36,5,0.686,4.0,64.31510582946962
Humaitá,AM,55080,13.37,1.0,3,84.2,0.0,16.0,5,0.605,4.0,64.300398914691
Paranaguá,PR,154936,36.22,1.0,3,72.47,0.0,3.62,5,0.75,4.0,64.29764376426564
Cianorte,PR,82620,19.1,1.0,3,96.62,0.0,5.05,0,0.755,4.0,64.2832296134618
Jaraguá,GO,50511,31.57,1.0,3,92.58,0.0,9.36,4,0.699,4.0,64.28126944013907
João Monlevade,MG,79910,20.23,1.0,3,95.75,0.0,3.87,0,0.758,4.0,64.2209653333004
Paraíso do Tocantins,TO,51252,40.22,1.0,3,87.21,0.0,6.5,4,0.764,4.0,64.214776719413
Várzea Paulista,SP,121838,12.74,1.0,3,83.69,0.0,4.79,0,0.759,4.0,64.02508353651083
Barreiras,BA,155439,12.22,1.0,3,47.93,0.0,9.98,5,0.721,4.0,64.02017336656394
Lagoa Santa,MG,64527,16.45,1.0,3,84.39,0.0,4.64,0,0.777,4.0,63.965162326614106
Peruíbe,SP,68284,15.17,1.0,3,60.74,0.0,5.92,3,0.749,4.0,63.96334767991724
Rio Bonito,RJ,60201,5.18,1.0,3,84.69,0.0,6.84,0,0.71,4.0,63.92934036249968
Indaial,SC,69425,4.62,1.0,4,54.01,0.0,2.8,0,0.777,4.0,63.926916876488306
Senhor do Bonfim,BA,79015,23.52,1.0,3,80.46,0.0,15.69,5,0.666,4.0,63.81085951091596
Jaboticabal,SP,77263,27.56,1.0,3,99.03,0.0,5.14,0,0.778,4.0,63.77673026663162
São João de Meriti,RJ,472406,47.12,1.0,3,89.87,0.0,3.44,5,0.719,4.0,63.77629889513539
São Gabriel,RS,62105,7.95,1.0,5,69.03,0.0,8.05,0,0.699,4.0,63.75493223716009
Rolândia,PR,66580,20.3,1.0,3,97.9,0.0,6.21,0,0.739,4.0,63.74938598880656
Sabará,MG,136344,35.5,1.0,2,82.45,0.0,5.02,5,0.731,4.0,63.73695144398836
Canoinhas,SC,54401,9.21,1.0,3,26.12,0.0,3.65,5,0.757,4.0,63.73084035174808
Caçador,SC,78595,11.75,1.0,5,63.37,0.0,5.66,0,0.735,4.0,63.677974673002275
Pedro Leopoldo,MG,64258,18.93,1.0,3,90.61,0.0,5.62,0,0.757,4.0,63.67603139826307
Angra dos Reis,RJ,203785,45.95,1.0,3,87.54,0.0,5.06,5,0.724,4.0,63.6491358373737
Cruz Alta,RS,60299,20.44,1.0,3,92.48,0.0,4.52,0,0.75,4.0,63.60396805959037
Floriano,PI,59935,30.56,1.0,3,86.96,0.0,12.26,4,0.7,4.0,63.56435108314963
Guaratinguetá,SP,121798,18.37,1.0,3,76.53,0.0,2.68,0,0.798,4.0,63.55872857180377
Frutal,MG,59496,24.02,1.0,4,92.82,0.0,6.58,0,0.73,4.0,63.54236456266435
Valparaíso de Goiás,GO,168468,42.19,1.0,3,74.41,0.0,3.38,5,0.746,4.0,63.541985357636534
Campo Largo,PR,132002,33.41,1.0,3,72.85,0.0,4.72,4,0.745,4.0,63.523874271623235
Duque de Caxias,RJ,919596,43.18,1.0,3,84.84,0.0,4.8,5,0.711,4.0,63.52096009936427
Corumbá,MS,111435,21.96,1.0,3,67.29,0.0,5.9,4,0.7,4.0,63.52043071795588
Brumado,BA,67195,27.35,1.0,3,84.0,0.0,14.41,5,0.656,4.0,63.515851252386675
Belém,PA,1492745,76.14,1.0,8,69.24,0.0,3.31,5,0.746,4.0,63.512079829643596
Capão da Canoa,RS,53049,52.31,1.0,4,88.09,0.0,3.38,4,0.743,4.0,63.47802262581737
Cuiabá,MT,612547,37.07,1.0,3,67.8,0.0,4.46,4,0.785,4.0,63.389623466614196
Cabedelo,PB,67736,40.38,1.0,6,55.48,0.0,11.47,4,0.748,4.0,63.3740681522942
Camboriú,SC,82989,35.25,1.0,6,45.18,0.0,4.26,4,0.726,4.0,63.36936944825302
Laranjal do Jari,AP,50410,25.73,1.0,8,18.96,0.0,9.63,5,0.665,4.0,63.36897431458357
Canguçu,RS,56045,8.94,1.0,3,51.93,0.0,9.65,5,0.65,4.0,63.35588205947751
Patos,PB,107605,25.22,1.0,3,72.41,0.0,17.97,5,0.701,4.0,63.273710884968445
Ubatuba,SP,90799,29.76,1.0,3,55.17,0.0,5.81,5,0.751,4.0,63.27361347658185
Cariacica,ES,381285,41.34,1.0,4,68.04,0.0,6.0,5,0.718,4.0,63.2126464028852
Manicoré,AM,55751,18.56,1.0,4,77.55,0.0,18.27,5,0.582,4.0,63.19209984406801
Araranguá,SC,68228,15.05,1.0,5,56.05,0.0,4.34,0,0.76,4.0,63.14181326519868
Oriximiná,PA,73096,25.69,1.0,3,81.06,0.0,10.88,5,0.623,4.0,63.10136733221262
Macaé,RJ,256672,45.93,1.0,3,82.1,0.0,4.14,4,0.764,4.0,63.09526033292163
Palmas,TO,299127,35.73,1.0,0,83.66,0.0,3.74,5,0.788,4.0,63.026877313977565
Guarabira,PB,58833,35.88,1.0,3,92.24,0.0,18.63,5,0.673,4.0,63.01372034249441
Sete Lagoas,MG,239639,38.85,1.0,0,94.19,0.0,3.86,5,0.76,4.0,62.9969351254657
Barbalha,CE,60781,26.96,1.0,3,85.54,0.0,17.65,4,0.683,4.0,62.98889747049473
Santarém,PA,304589,28.53,1.0,6,32.42,0.0,7.26,5,0.691,4.0,62.950758842095496
Xanxerê,SC,50982,12.23,1.0,3,69.46,0.0,5.28,0,0.775,4.0,62.95027595582624
Sant'Ana do Livramento,RS,77027,9.68,1.0,3,74.46,0.0,3.95,0,0.727,4.0,62.90594288892091
Tefé,AM,59849,22.5,1.0,3,73.7,0.0,13.9,5,0.639,4.0,62.8561123455063
Rondonópolis,MT,232491,47.51,1.0,3,76.85,0.0,6.71,5,0.755,4.0,62.84051278435062
Santa Cruz do Sul,RS,130416,36.28,1.0,5,79.45,0.0,2.8,0,0.773,4.0,62.83301360295483
Bacabal,MA,104949,46.59,1.0,5,90.22,0.0,19.89,5,0.651,4.0,62.799665867862714
Aracati,CE,74547,25.96,1.0,4,69.24,0.0,19.35,5,0.655,4.0,62.76408208955594
Várzea Grande,MT,284971,48.65,1.0,5,59.39,0.0,5.49,5,0.734,4.0,62.76280322866551
Juruti,PA,57943,10.87,1.0,3,61.8,0.0,9.75,5,0.592,4.0,62.76227687402386
Itabuna,BA,213223,65.34,1.0,8,59.88,0.0,10.09,5,0.712,4.0,62.663342124332026
Unaí,MG,84378,19.17,1.0,3,88.35,0.0,8.67,0,0.736,4.0,62.60523969615671
Inhumas,GO,52866,48.14,1.0,3,95.76,0.0,9.47,4,0.72,4.0,62.59694038233058
Palmas,PR,50986,24.82,1.0,3,64.7,0.0,9.16,5,0.66,4.0,62.574399407831976
Rio das Ostras,RJ,150674,55.63,1.0,4,77.35,0.0,3.31,4,0.773,4.0,62.56561735083635
Crato,CE,132123,40.88,1.0,3,80.94,0.0,13.9,5,0.713,4.0,62.52347882464519
Divinópolis,MG,238230,26.19,1.0,3,86.33,0.0,3.69,0,0.764,4.0,62.52146930869317
Santo Estêvão,BA,52850,18.7,1.0,3,75.7,0.0,21.94,5,0.626,4.0,62.46391515708517
Itapipoca,CE,129358,11.09,1.0,3,70.92,0.0,21.85,4,0.64,4.0,62.43412672050844
Mineiros,GO,66801,27.59,1.0,3,71.97,0.0,7.33,3,0.718,4.0,62.41080988065832
Sapiranga,RS,81734,18.76,1.0,3,85.7,0.0,3.49,0,0.711,4.0,62.39299294586579
Guapimirim,RJ,60517,47.28,1.0,4,75.69,0.0,8.51,5,0.698,4.0,62.38826125084726
Nova Serrana,MG,102693,25.99,1.0,3,95.91,0.0,4.54,0,0.715,4.0,62.33726050495376
Barra do Garças,MT,61012,25.56,1.0,3,91.09,0.0,7.72,0,0.748,4.0,62.30620185261676
Caratinga,MG,92062,16.42,1.0,3,88.08,0.0,9.84,0,0.706,4.0,62.18526963495623
Camaragibe,PE,157828,47.67,1.0,6,55.34,0.0,10.59,5,0.692,4.0,62.106577279666624
Rio Branco,AC,407319,62.59,1.0,7,56.37,0.0,8.86,5,0.727,4.0,62.07379490437213
Ibiúna,SP,78878,11.69,1.0,3,76.8,0.0,8.18,0,0.71,4.0,62.004780581764855
Tauá,CE,58859,39.71,1.0,5,83.01,0.0,26.99,5,0.633,4.0,61.91230255152154
Mairiporã,SP,100179,13.83,1.0,3,58.74,0.0,5.54,0,0.788,4.0,61.87780372479037
Delmiro Gouveia,AL,52016,28.68,1.0,3,88.79,0.0,23.44,5,0.612,4.0,61.8390025050568
Camaquã,RS,66261,10.6,1.0,6,40.92,0.0,6.97,0,0.697,4.0,61.66237095676973
Itapajé,CE,52675,36.87,1.0,6,73.03,0.0,23.02,4,0.623,4.0,61.629217330922216
Januária,MG,67742,10.23,1.0,3,52.51,0.0,17.53,4,0.658,4.0,61.549367110106076
Leopoldina,MG,52587,9.39,1.0,0,96.7,0.0,7.39,0,0.726,4.0,61.49956171245444
João Pessoa,PB,809015,44.28,1.0,3,67.83,0.0,7.67,4,0.763,4.0,61.474129057611115
Maceió,AL,1018948,55.3,1.0,5,65.46,0.0,11.32,5,0.721,4.0,61.46858838874354
Icó,CE,68018,29.7,1.0,6,62.78,0.0,30.41,5,0.606,4.0,61.46470030909374
Uruguaiana,RS,126970,19.27,1.0,3,70.06,0.0,3.71,0,0.744,4.0,61.43371663064662
Viçosa do Ceará,CE,60889,18.49,1.0,3,87.61,0.0,31.76,5,0.571,4.0,61.412985595523374
Vacaria,RS,66218,24.56,1.0,5,62.69,0.0,5.43,0,0.721,4.0,61.407424993784694
Telêmaco Borba,PR,78974,56.17,1.0,3,79.5,0.0,7.06,5,0.734,4.0,61.30961826543122
Estância,SE,69184,40.67,1.0,3,87.13,0.0,17.6,5,0.647,4.0,61.301731142314416
Ribeirão das Neves,MG,334858,49.1,1.0,4,68.27,0.0,6.22,5,0.684,4.0,61.28929269924917
Quixadá,CE,87728,58.15,1.0,6,80.2,0.0,20.95,5,0.659,4.0,61.22531994218096
Itararé,SP,50503,11.94,1.0,3,69.05,0.0,6.92,0,0.703,4.0,61.15221074296857
Paracambi,RJ,52257,63.91,1.0,3,89.91,0.0,4.92,5,0.72,4.0,61.13852543726189
Natal,RN,884122,62.67,1.0,3,81.68,0.0,7.87,5,0.763,4.0,61.12899250143599
Monte Mor,SP,59772,21.3,1.0,3,75.12,0.0,6.83,0,0.733,4.0,61.06368377689334
Cáceres,MT,94376,33.01,1.0,4,41.48,0.0,10.77,5,0.708,4.0,60.99136776594443
Cachoeira do Sul,RS,82201,17.52,1.0,4,56.18,0.0,7.26,0,0.742,4.0,60.95388413300705
Olinda,PE,392482,47.67,1.0,4,51.86,0.0,6.53,5,0.735,4.0,60.93609960176784
Parauapebas,PA,208273,59.11,1.0,5,63.16,0.0,7.63,5,0.715,4.0,60.92933612800029
Paulo Afonso,BA,117782,57.53,1.0,4,89.29,0.0,15.78,5,0.674,4.0,60.9249798000222
Francisco Morato,SP,175844,12.95,1.0,3,67.59,0.0,6.34,0,0.703,4.0,60.914813174497354
São Francisco do Sul,SC,52721,66.45,1.0,4,69.83,0.0,3.74,5,0.762,4.0,60.88702490994166
Mossoró,RN,297378,74.33,1.0,5,89.1,0.0,12.89,5,0.72,4.0,60.86022770705885
Seropédica,RJ,82312,27.49,1.0,4,35.47,0.0,5.76,4,0.713,4.0,60.85418250347711
Trindade,GO,127599,54.45,1.0,3,79.37,0.0,7.52,5,0.699,4.0,60.71469096963082
Paulista,PE,331774,37.16,1.0,3,54.78,0.0,5.94,4,0.732,4.0,60.68800745509602
Ponta Porã,MS,92526,60.12,1.0,6,55.82,0.0,8.93,5,0.701,4.0,60.68152996494466
Ariquemes,RO,107863,57.6,1.0,3,83.37,0.0,7.9,5,0.702,4.0,60.68117785259479
Quixeramobim,CE,81082,37.21,1.0,3,82.71,0.0,23.29,5,0.642,4.0,60.63575704992994
Acaraú,CE,62641,22.68,1.0,3,75.08,0.0,28.25,5,0.601,4.0,60.5601064624286
Dias d'Ávila,BA,81089,86.9,1.0,8,76.73,0.0,8.28,5,0.676,4.0,60.559800017208005
Cabo Frio,RJ,226525,47.11,1.0,3,75.88,0.0,4.84,3,0.735,4.0,60.55292282210588
Itapecuru Mirim,MA,68203,16.39,1.0,3,74.15,0.0,26.73,4,0.599,4.0,60.522531062379194
Mafra,SC,56292,7.19,1.0,3,35.0,0.0,2.82,0,0.777,4.0,60.48240555055169
Sarandi,PR,96688,35.03,1.0,3,68.16,0.0,7.27,3,0.695,4.0,60.39928750530675
Pirapora,MG,56428,54.89,1.0,4,57.76,0.0,6.75,5,0.731,4.0,60.34995892253113
Araçatuba,SP,197016,23.22,1.0,0,88.08,0.0,3.7,0,0.788,4.0,60.3498583268413
Petrolina,PE,349145,38.5,1.0,3,56.9,0.0,11.36,5,0.697,4.0,60.329892338359286
Porto Velho,RO,529544,44.01,1.0,3,49.55,0.0,5.21,5,0.736,4.0,60.29966801808425
Nova Iguaçu,RJ,821128,44.27,1.0,3,73.39,0.0,4.31,3,0.713,4.0,60.28325516505553
Porto Nacional,TO,53010,74.27,1.0,4,84.46,0.0,7.86,5,0.74,4.0,60.27801893069758
Magé,RJ,245071,50.36,1.0,3,65.47,0.0,6.18,5,0.709,4.0,60.27074824343301
Senador Canedo,GO,115371,68.97,1.0,3,93.9,0.0,6.75,5,0.701,4.0,60.16653973078273
Maricá,RJ,161207,29.36,1.0,3,20.01,0.0,4.89,5,0.765,4.0,60.145431307569375
Pacatuba,CE,83432,58.8,1.0,3,87.47,0.0,9.53,5,0.675,4.0,60.13762960331608
Trairi,CE,55918,38.31,1.0,6,63.19,0.0,22.18,4,0.606,4.0,60.114281476293634
Caucaia,CE,361400,49.7,1.0,3,75.32,0.0,12.41,5,0.682,4.0,60.095423854087414
